t[s],theta[rad],v[rad/s],a[rad/s^2],v0
0.0,0.0524,0.0,-0.5134,0.0
0.001,0.052359,-0.0005,-0.513411,0.0
0.002,0.052358,-0.001,-0.513401,0.0
0.003,0.052357,-0.0015,-0.513386,0.0
0.004,0.052355,-0.0021,-0.513365,0.0
0.005,0.052352,-0.0026,-0.51334,0.0
0.006,0.052349,-0.0031,-0.51331,0.0
0.007,0.052346,-0.0036,-0.513275,0.0
0.008,0.052341,-0.0041,-0.513235,0.0
0.009,0.052337,-0.0046,-0.513189,0.0
0.01,0.052332,-0.0051,-0.513139,0.0
0.011,0.052326,-0.0056,-0.513084,0.0
0.012,0.05232,-0.0062,-0.513023,0.0
0.013,0.052313,-0.0067,-0.512958,0.0
0.014,0.052306,-0.0072,-0.512888,0.0
0.015,0.052298,-0.0077,-0.512812,0.0
0.016,0.05229,-0.0082,-0.512732,0.0
0.017,0.052281,-0.0087,-0.512646,0.0
0.018,0.052272,-0.0092,-0.512556,0.0
0.019,0.052262,-0.0097,-0.51246,0.0
0.02,0.052252,-0.0103,-0.51236,0.0
0.021,0.052241,-0.0108,-0.512254,0.0
0.022,0.05223,-0.0113,-0.512144,0.0
0.023,0.052218,-0.0118,-0.512028,0.0
0.024,0.052206,-0.0123,-0.511908,0.0
0.025,0.052193,-0.0128,-0.511782,0.0
0.026,0.05218,-0.0133,-0.511651,0.0
0.027,0.052166,-0.0138,-0.511516,0.0
0.028,0.052152,-0.0144,-0.511375,0.0
0.029,0.052137,-0.0149,-0.511229,0.0
0.03,0.052121,-0.0154,-0.511079,0.0
0.031,0.052105,-0.0159,-0.510923,0.0
0.032,0.052089,-0.0164,-0.510762,0.0
0.033,0.052072,-0.0169,-0.510597,0.0
0.034,0.052055,-0.0174,-0.510426,0.0
0.035,0.052037,-0.0179,-0.51025,0.0
0.036,0.052018,-0.0184,-0.51007,0.0
0.037,0.051999,-0.019,-0.509884,0.0
0.038,0.05198,-0.0195,-0.509693,0.0
0.039,0.05196,-0.02,-0.509498,0.0
0.04,0.051939,-0.0205,-0.509297,0.0
0.041,0.051918,-0.021,-0.509091,0.0
0.042,0.051897,-0.0215,-0.508881,0.0
0.043,0.051875,-0.022,-0.508665,0.0
0.044,0.051852,-0.0225,-0.508444,0.0
0.045,0.051829,-0.023,-0.508219,0.0
0.046,0.051806,-0.0235,-0.507988,0.0
0.047,0.051782,-0.024,-0.507753,0.0
0.048,0.051757,-0.0246,-0.507512,0.0
0.049,0.051732,-0.0251,-0.507267,0.0
0.05,0.051707,-0.0256,-0.507016,0.0
0.051,0.051681,-0.0261,-0.506761,0.0
0.052,0.051654,-0.0266,-0.5065,0.0
0.053,0.051627,-0.0271,-0.506235,0.0
0.054,0.051599,-0.0276,-0.505965,0.0
0.055,0.051571,-0.0281,-0.505689,0.0
0.056,0.051543,-0.0286,-0.505409,0.0
0.057,0.051513,-0.0291,-0.505124,0.0
0.058,0.051484,-0.0296,-0.504834,0.0
0.059,0.051454,-0.0301,-0.504539,0.0
0.06,0.051423,-0.0306,-0.504239,0.0
0.061,0.051392,-0.0311,-0.503934,0.0
0.062,0.05136,-0.0316,-0.503624,0.0
0.063,0.051328,-0.0321,-0.503309,0.0
0.064,0.051296,-0.0326,-0.502989,0.0
0.065,0.051262,-0.0331,-0.502664,0.0
0.066,0.051229,-0.0336,-0.502335,0.0
0.067,0.051195,-0.0341,-0.502,0.0
0.068,0.05116,-0.0346,-0.501661,0.0
0.069,0.051125,-0.0352,-0.501316,0.0
0.07,0.051089,-0.0357,-0.500967,0.0
0.071,0.051053,-0.0362,-0.500613,0.0
0.072,0.051016,-0.0367,-0.500254,0.0
0.073,0.050979,-0.0372,-0.49989,0.0
0.074,0.050942,-0.0377,-0.499521,0.0
0.075,0.050903,-0.0382,-0.499147,0.0
0.076,0.050865,-0.0387,-0.498768,0.0
0.077,0.050826,-0.0392,-0.498385,0.0
0.078,0.050786,-0.0396,-0.497996,0.0
0.079,0.050746,-0.0401,-0.497603,0.0
0.08,0.050705,-0.0406,-0.497205,0.0
0.081,0.050664,-0.0411,-0.496802,0.0
0.082,0.050622,-0.0416,-0.496394,0.0
0.083,0.05058,-0.0421,-0.495981,0.0
0.084,0.050538,-0.0426,-0.495563,0.0
0.085,0.050495,-0.0431,-0.495141,0.0
0.086,0.050451,-0.0436,-0.494713,0.0
0.087,0.050407,-0.0441,-0.494281,0.0
0.088,0.050362,-0.0446,-0.493844,0.0
0.089,0.050317,-0.0451,-0.493402,0.0
0.09,0.050271,-0.0456,-0.492955,0.0
0.091,0.050225,-0.0461,-0.492504,0.0
0.092,0.050179,-0.0466,-0.492047,0.0
0.093,0.050132,-0.0471,-0.491586,0.0
0.094,0.050084,-0.0476,-0.49112,0.0
0.095,0.050036,-0.0481,-0.490649,0.0
0.096,0.049988,-0.0485,-0.490173,0.0
0.097,0.049938,-0.049,-0.489693,0.0
0.098,0.049889,-0.0495,-0.489208,0.0
0.099,0.049839,-0.05,-0.488718,0.0
0.1,0.049788,-0.0505,-0.488223,0.0
0.101,0.049737,-0.051,-0.487723,0.0
0.102,0.049686,-0.0515,-0.487219,0.0
0.103,0.049634,-0.052,-0.486709,0.0
0.104,0.049582,-0.0525,-0.486196,0.0
0.105,0.049529,-0.0529,-0.485677,0.0
0.106,0.049475,-0.0534,-0.485153,0.0
0.107,0.049421,-0.0539,-0.484625,0.0
0.108,0.049367,-0.0544,-0.484092,0.0
0.109,0.049312,-0.0549,-0.483554,0.0
0.11,0.049257,-0.0554,-0.483012,0.0
0.111,0.049201,-0.0558,-0.482465,0.0
0.112,0.049144,-0.0563,-0.481913,0.0
0.113,0.049088,-0.0568,-0.481356,0.0
0.114,0.04903,-0.0573,-0.480795,0.0
0.115,0.048973,-0.0578,-0.480228,0.0
0.116,0.048914,-0.0583,-0.479658,0.0
0.117,0.048856,-0.0587,-0.479082,0.0
0.118,0.048796,-0.0592,-0.478502,0.0
0.119,0.048737,-0.0597,-0.477917,0.0
0.12,0.048676,-0.0602,-0.477327,0.0
0.121,0.048616,-0.0606,-0.476733,0.0
0.122,0.048555,-0.0611,-0.476134,0.0
0.123,0.048493,-0.0616,-0.475531,0.0
0.124,0.048431,-0.0621,-0.474922,0.0
0.125,0.048368,-0.0626,-0.474309,0.0
0.126,0.048305,-0.063,-0.473692,0.0
0.127,0.048242,-0.0635,-0.47307,0.0
0.128,0.048178,-0.064,-0.472443,0.0
0.129,0.048113,-0.0644,-0.471811,0.0
0.13,0.048049,-0.0649,-0.471175,0.0
0.131,0.047983,-0.0654,-0.470535,0.0
0.132,0.047917,-0.0659,-0.469889,0.0
0.133,0.047851,-0.0663,-0.469239,0.0
0.134,0.047784,-0.0668,-0.468585,0.0
0.135,0.047717,-0.0673,-0.467926,0.0
0.136,0.047649,-0.0677,-0.467262,0.0
0.137,0.047581,-0.0682,-0.466594,0.0
0.138,0.047512,-0.0687,-0.465921,0.0
0.139,0.047443,-0.0691,-0.465243,0.0
0.14,0.047374,-0.0696,-0.464561,0.0
0.141,0.047304,-0.0701,-0.463875,0.0
0.142,0.047233,-0.0705,-0.463184,0.0
0.143,0.047162,-0.071,-0.462488,0.0
0.144,0.047091,-0.0715,-0.461788,0.0
0.145,0.047019,-0.0719,-0.461083,0.0
0.146,0.046946,-0.0724,-0.460374,0.0
0.147,0.046873,-0.0728,-0.45966,0.0
0.148,0.0468,-0.0733,-0.458942,0.0
0.149,0.046726,-0.0738,-0.458219,0.0
0.15,0.046652,-0.0742,-0.457492,0.0
0.151,0.046577,-0.0747,-0.45676,0.0
0.152,0.046502,-0.0751,-0.456024,0.0
0.153,0.046427,-0.0756,-0.455283,0.0
0.154,0.046351,-0.076,-0.454538,0.0
0.155,0.046274,-0.0765,-0.453788,0.0
0.156,0.046197,-0.0769,-0.453034,0.0
0.157,0.04612,-0.0774,-0.452276,0.0
0.158,0.046042,-0.0779,-0.451513,0.0
0.159,0.045964,-0.0783,-0.450746,0.0
0.16,0.045885,-0.0788,-0.449974,0.0
0.161,0.045806,-0.0792,-0.449198,0.0
0.162,0.045726,-0.0797,-0.448417,0.0
0.163,0.045646,-0.0801,-0.447632,0.0
0.164,0.045565,-0.0806,-0.446843,0.0
0.165,0.045484,-0.081,-0.446049,0.0
0.166,0.045403,-0.0814,-0.445251,0.0
0.167,0.045321,-0.0819,-0.444448,0.0
0.168,0.045239,-0.0823,-0.443641,0.0
0.169,0.045156,-0.0828,-0.44283,0.0
0.17,0.045073,-0.0832,-0.442015,0.0
0.171,0.044989,-0.0837,-0.441195,0.0
0.172,0.044905,-0.0841,-0.44037,0.0
0.173,0.044821,-0.0845,-0.439542,0.0
0.174,0.044736,-0.085,-0.438709,0.0
0.175,0.04465,-0.0854,-0.437872,0.0
0.176,0.044564,-0.0859,-0.43703,0.0
0.177,0.044478,-0.0863,-0.436185,0.0
0.178,0.044391,-0.0867,-0.435335,0.0
0.179,0.044304,-0.0872,-0.43448,0.0
0.18,0.044216,-0.0876,-0.433622,0.0
0.181,0.044128,-0.088,-0.432759,0.0
0.182,0.04404,-0.0885,-0.431892,0.0
0.183,0.043951,-0.0889,-0.431021,0.0
0.184,0.043862,-0.0893,-0.430145,0.0
0.185,0.043772,-0.0898,-0.429266,0.0
0.186,0.043682,-0.0902,-0.428382,0.0
0.187,0.043591,-0.0906,-0.427494,0.0
0.188,0.0435,-0.091,-0.426601,0.0
0.189,0.043409,-0.0915,-0.425705,0.0
0.19,0.043317,-0.0919,-0.424804,0.0
0.191,0.043224,-0.0923,-0.423899,0.0
0.192,0.043132,-0.0927,-0.42299,0.0
0.193,0.043038,-0.0932,-0.422077,0.0
0.194,0.042945,-0.0936,-0.42116,0.0
0.195,0.042851,-0.094,-0.420238,0.0
0.196,0.042756,-0.0944,-0.419313,0.0
0.197,0.042662,-0.0949,-0.418383,0.0
0.198,0.042566,-0.0953,-0.417449,0.0
0.199,0.042471,-0.0957,-0.416511,0.0
0.2,0.042374,-0.0961,-0.415569,0.0
0.201,0.042278,-0.0965,-0.414623,0.0
0.202,0.042181,-0.0969,-0.413673,0.0
0.203,0.042084,-0.0974,-0.412719,0.0
0.204,0.041986,-0.0978,-0.411761,0.0
0.205,0.041888,-0.0982,-0.410799,0.0
0.206,0.041789,-0.0986,-0.409832,0.0
0.207,0.04169,-0.099,-0.408862,0.0
0.208,0.041591,-0.0994,-0.407888,0.0
0.209,0.041491,-0.0998,-0.40691,0.0
0.21,0.041391,-0.1002,-0.405927,0.0
0.211,0.04129,-0.1006,-0.404941,0.0
0.212,0.041189,-0.101,-0.403951,0.0
0.213,0.041088,-0.1014,-0.402956,0.0
0.214,0.040986,-0.1018,-0.401958,0.0
0.215,0.040884,-0.1022,-0.400956,0.0
0.216,0.040781,-0.1026,-0.39995,0.0
0.217,0.040678,-0.103,-0.39894,0.0
0.218,0.040574,-0.1034,-0.397926,0.0
0.219,0.040471,-0.1038,-0.396908,0.0
0.22,0.040366,-0.1042,-0.395887,0.0
0.221,0.040262,-0.1046,-0.394861,0.0
0.222,0.040157,-0.105,-0.393832,0.0
0.223,0.040051,-0.1054,-0.392798,0.0
0.224,0.039946,-0.1058,-0.391761,0.0
0.225,0.039839,-0.1062,-0.39072,0.0
0.226,0.039733,-0.1066,-0.389675,0.0
0.227,0.039626,-0.107,-0.388627,0.0
0.228,0.039518,-0.1074,-0.387574,0.0
0.229,0.039411,-0.1078,-0.386518,0.0
0.23,0.039302,-0.1081,-0.385458,0.0
0.231,0.039194,-0.1085,-0.384394,0.0
0.232,0.039085,-0.1089,-0.383326,0.0
0.233,0.038976,-0.1093,-0.382255,0.0
0.234,0.038866,-0.1097,-0.38118,0.0
0.235,0.038756,-0.1101,-0.380101,0.0
0.236,0.038646,-0.1104,-0.379018,0.0
0.237,0.038535,-0.1108,-0.377932,0.0
0.238,0.038424,-0.1112,-0.376842,0.0
0.239,0.038312,-0.1116,-0.375748,0.0
0.24,0.0382,-0.112,-0.374651,0.0
0.241,0.038088,-0.1123,-0.373549,0.0
0.242,0.037975,-0.1127,-0.372445,0.0
0.243,0.037862,-0.1131,-0.371336,0.0
0.244,0.037748,-0.1134,-0.370224,0.0
0.245,0.037635,-0.1138,-0.369108,0.0
0.246,0.03752,-0.1142,-0.367989,0.0
0.247,0.037406,-0.1146,-0.366866,0.0
0.248,0.037291,-0.1149,-0.36574,0.0
0.249,0.037176,-0.1153,-0.364609,0.0
0.25,0.03706,-0.1156,-0.363476,0.0
0.251,0.036944,-0.116,-0.362338,0.0
0.252,0.036828,-0.1164,-0.361198,0.0
0.253,0.036711,-0.1167,-0.360053,0.0
0.254,0.036594,-0.1171,-0.358905,0.0
0.255,0.036476,-0.1175,-0.357754,0.0
0.256,0.036359,-0.1178,-0.356599,0.0
0.257,0.03624,-0.1182,-0.35544,0.0
0.258,0.036122,-0.1185,-0.354278,0.0
0.259,0.036003,-0.1189,-0.353113,0.0
0.26,0.035884,-0.1192,-0.351944,0.0
0.261,0.035764,-0.1196,-0.350772,0.0
0.262,0.035644,-0.1199,-0.349596,0.0
0.263,0.035524,-0.1203,-0.348417,0.0
0.264,0.035403,-0.1206,-0.347234,0.0
0.265,0.035282,-0.121,-0.346048,0.0
0.266,0.035161,-0.1213,-0.344858,0.0
0.267,0.035039,-0.1217,-0.343666,0.0
0.268,0.034917,-0.122,-0.342469,0.0
0.269,0.034795,-0.1224,-0.34127,0.0
0.27,0.034672,-0.1227,-0.340067,0.0
0.271,0.034549,-0.123,-0.338861,0.0
0.272,0.034426,-0.1234,-0.337651,0.0
0.273,0.034302,-0.1237,-0.336438,0.0
0.274,0.034178,-0.1241,-0.335222,0.0
0.275,0.034054,-0.1244,-0.334002,0.0
0.276,0.033929,-0.1247,-0.332779,0.0
0.277,0.033804,-0.1251,-0.331553,0.0
0.278,0.033679,-0.1254,-0.330324,0.0
0.279,0.033553,-0.1257,-0.329092,0.0
0.28,0.033427,-0.126,-0.327856,0.0
0.281,0.0333,-0.1264,-0.326617,0.0
0.282,0.033174,-0.1267,-0.325375,0.0
0.283,0.033047,-0.127,-0.324129,0.0
0.284,0.032919,-0.1273,-0.32288,0.0
0.285,0.032792,-0.1277,-0.321629,0.0
0.286,0.032664,-0.128,-0.320374,0.0
0.287,0.032535,-0.1283,-0.319116,0.0
0.288,0.032407,-0.1286,-0.317854,0.0
0.289,0.032278,-0.1289,-0.31659,0.0
0.29,0.032149,-0.1293,-0.315323,0.0
0.291,0.032019,-0.1296,-0.314052,0.0
0.292,0.031889,-0.1299,-0.312779,0.0
0.293,0.031759,-0.1302,-0.311502,0.0
0.294,0.031628,-0.1305,-0.310222,0.0
0.295,0.031497,-0.1308,-0.308939,0.0
0.296,0.031366,-0.1311,-0.307653,0.0
0.297,0.031235,-0.1314,-0.306365,0.0
0.298,0.031103,-0.1318,-0.305073,0.0
0.299,0.030971,-0.1321,-0.303778,0.0
0.3,0.030839,-0.1324,-0.30248,0.0
0.301,0.030706,-0.1327,-0.301179,0.0
0.302,0.030573,-0.133,-0.299875,0.0
0.303,0.03044,-0.1333,-0.298569,0.0
0.304,0.030306,-0.1336,-0.297259,0.0
0.305,0.030172,-0.1339,-0.295946,0.0
0.306,0.030038,-0.1342,-0.294631,0.0
0.307,0.029904,-0.1345,-0.293313,0.0
0.308,0.029769,-0.1347,-0.291991,0.0
0.309,0.029634,-0.135,-0.290667,0.0
0.31,0.029499,-0.1353,-0.28934,0.0
0.311,0.029363,-0.1356,-0.28801,0.0
0.312,0.029227,-0.1359,-0.286678,0.0
0.313,0.029091,-0.1362,-0.285342,0.0
0.314,0.028955,-0.1365,-0.284004,0.0
0.315,0.028818,-0.1368,-0.282663,0.0
0.316,0.028681,-0.137,-0.281319,0.0
0.317,0.028543,-0.1373,-0.279972,0.0
0.318,0.028406,-0.1376,-0.278623,0.0
0.319,0.028268,-0.1379,-0.277271,0.0
0.32,0.02813,-0.1382,-0.275916,0.0
0.321,0.027991,-0.1384,-0.274559,0.0
0.322,0.027853,-0.1387,-0.273198,0.0
0.323,0.027714,-0.139,-0.271836,0.0
0.324,0.027574,-0.1393,-0.27047,0.0
0.325,0.027435,-0.1395,-0.269102,0.0
0.326,0.027295,-0.1398,-0.267731,0.0
0.327,0.027155,-0.1401,-0.266357,0.0
0.328,0.027015,-0.1403,-0.264981,0.0
0.329,0.026874,-0.1406,-0.263602,0.0
0.33,0.026733,-0.1409,-0.262221,0.0
0.331,0.026592,-0.1411,-0.260837,0.0
0.332,0.026451,-0.1414,-0.259451,0.0
0.333,0.026309,-0.1416,-0.258062,0.0
0.334,0.026167,-0.1419,-0.25667,0.0
0.335,0.026025,-0.1422,-0.255276,0.0
0.336,0.025883,-0.1424,-0.253879,0.0
0.337,0.02574,-0.1427,-0.25248,0.0
0.338,0.025597,-0.1429,-0.251079,0.0
0.339,0.025454,-0.1432,-0.249675,0.0
0.34,0.02531,-0.1434,-0.248268,0.0
0.341,0.025167,-0.1437,-0.246859,0.0
0.342,0.025023,-0.1439,-0.245448,0.0
0.343,0.024879,-0.1442,-0.244034,0.0
0.344,0.024734,-0.1444,-0.242618,0.0
0.345,0.02459,-0.1446,-0.2412,0.0
0.346,0.024445,-0.1449,-0.239779,0.0
0.347,0.0243,-0.1451,-0.238355,0.0
0.348,0.024154,-0.1454,-0.23693,0.0
0.349,0.024009,-0.1456,-0.235502,0.0
0.35,0.023863,-0.1458,-0.234072,0.0
0.351,0.023717,-0.1461,-0.232639,0.0
0.352,0.02357,-0.1463,-0.231204,0.0
0.353,0.023424,-0.1465,-0.229767,0.0
0.354,0.023277,-0.1468,-0.228328,0.0
0.355,0.02313,-0.147,-0.226886,0.0
0.356,0.022983,-0.1472,-0.225442,0.0
0.357,0.022835,-0.1474,-0.223996,0.0
0.358,0.022688,-0.1477,-0.222548,0.0
0.359,0.02254,-0.1479,-0.221098,0.0
0.36,0.022392,-0.1481,-0.219645,0.0
0.361,0.022243,-0.1483,-0.21819,0.0
0.362,0.022095,-0.1486,-0.216733,0.0
0.363,0.021946,-0.1488,-0.215274,0.0
0.364,0.021797,-0.149,-0.213813,0.0
0.365,0.021648,-0.1492,-0.21235,0.0
0.366,0.021499,-0.1494,-0.210884,0.0
0.367,0.021349,-0.1496,-0.209417,0.0
0.368,0.021199,-0.1498,-0.207947,0.0
0.369,0.021049,-0.15,-0.206476,0.0
0.37,0.020899,-0.1502,-0.205002,0.0
0.371,0.020748,-0.1504,-0.203527,0.0
0.372,0.020598,-0.1507,-0.202049,0.0
0.373,0.020447,-0.1509,-0.20057,0.0
0.374,0.020296,-0.1511,-0.199088,0.0
0.375,0.020145,-0.1513,-0.197604,0.0
0.376,0.019993,-0.1515,-0.196119,0.0
0.377,0.019841,-0.1516,-0.194632,0.0
0.378,0.01969,-0.1518,-0.193142,0.0
0.379,0.019538,-0.152,-0.191651,0.0
0.38,0.019385,-0.1522,-0.190158,0.0
0.381,0.019233,-0.1524,-0.188663,0.0
0.382,0.01908,-0.1526,-0.187166,0.0
0.383,0.018928,-0.1528,-0.185668,0.0
0.384,0.018775,-0.153,-0.184167,0.0
0.385,0.018621,-0.1532,-0.182665,0.0
0.386,0.018468,-0.1533,-0.181161,0.0
0.387,0.018314,-0.1535,-0.179655,0.0
0.388,0.018161,-0.1537,-0.178147,0.0
0.389,0.018007,-0.1539,-0.176638,0.0
0.39,0.017853,-0.1541,-0.175127,0.0
0.391,0.017699,-0.1542,-0.173614,0.0
0.392,0.017544,-0.1544,-0.1721,0.0
0.393,0.01739,-0.1546,-0.170583,0.0
0.394,0.017235,-0.1548,-0.169066,0.0
0.395,0.01708,-0.1549,-0.167546,0.0
0.396,0.016925,-0.1551,-0.166025,0.0
0.397,0.01677,-0.1553,-0.164502,0.0
0.398,0.016614,-0.1554,-0.162977,0.0
0.399,0.016459,-0.1556,-0.161451,0.0
0.4,0.016303,-0.1557,-0.159924,0.0
0.401,0.016147,-0.1559,-0.158395,0.0
0.402,0.015991,-0.1561,-0.156864,0.0
0.403,0.015835,-0.1562,-0.155331,0.0
0.404,0.015678,-0.1564,-0.153798,0.0
0.405,0.015522,-0.1565,-0.152262,0.0
0.406,0.015365,-0.1567,-0.150725,0.0
0.407,0.015208,-0.1568,-0.149187,0.0
0.408,0.015051,-0.157,-0.147647,0.0
0.409,0.014894,-0.1571,-0.146106,0.0
0.41,0.014737,-0.1573,-0.144563,0.0
0.411,0.014579,-0.1574,-0.143019,0.0
0.412,0.014422,-0.1576,-0.141474,0.0
0.413,0.014264,-0.1577,-0.139927,0.0
0.414,0.014106,-0.1578,-0.138378,0.0
0.415,0.013948,-0.158,-0.136829,0.0
0.416,0.01379,-0.1581,-0.135278,0.0
0.417,0.013632,-0.1583,-0.133725,0.0
0.418,0.013474,-0.1584,-0.132172,0.0
0.419,0.013315,-0.1585,-0.130617,0.0
0.42,0.013156,-0.1587,-0.129061,0.0
0.421,0.012998,-0.1588,-0.127503,0.0
0.422,0.012839,-0.1589,-0.125944,0.0
0.423,0.01268,-0.159,-0.124384,0.0
0.424,0.012521,-0.1592,-0.122823,0.0
0.425,0.012361,-0.1593,-0.121261,0.0
0.426,0.012202,-0.1594,-0.119697,0.0
0.427,0.012042,-0.1595,-0.118132,0.0
0.428,0.011883,-0.1596,-0.116566,0.0
0.429,0.011723,-0.1598,-0.114999,0.0
0.43,0.011563,-0.1599,-0.113431,0.0
0.431,0.011403,-0.16,-0.111862,0.0
0.432,0.011243,-0.1601,-0.110291,0.0
0.433,0.011083,-0.1602,-0.10872,0.0
0.434,0.010922,-0.1603,-0.107147,0.0
0.435,0.010762,-0.1604,-0.105574,0.0
0.436,0.010602,-0.1605,-0.103999,0.0
0.437,0.010441,-0.1606,-0.102423,0.0
0.438,0.01028,-0.1607,-0.100846,0.0
0.439,0.010119,-0.1608,-0.099269,0.0
0.44,0.009958,-0.1609,-0.09769,0.0
0.441,0.009797,-0.161,-0.09611,0.0
0.442,0.009636,-0.1611,-0.09453,0.0
0.443,0.009475,-0.1612,-0.092948,0.0
0.444,0.009314,-0.1613,-0.091366,0.0
0.445,0.009152,-0.1614,-0.089782,0.0
0.446,0.008991,-0.1615,-0.088198,0.0
0.447,0.008829,-0.1616,-0.086613,0.0
0.448,0.008668,-0.1617,-0.085027,0.0
0.449,0.008506,-0.1618,-0.08344,0.0
0.45,0.008344,-0.1618,-0.081853,0.0
0.451,0.008182,-0.1619,-0.080264,0.0
0.452,0.00802,-0.162,-0.078675,0.0
0.453,0.007858,-0.1621,-0.077085,0.0
0.454,0.007696,-0.1622,-0.075495,0.0
0.455,0.007534,-0.1622,-0.073903,0.0
0.456,0.007371,-0.1623,-0.072311,0.0
0.457,0.007209,-0.1624,-0.070718,0.0
0.458,0.007046,-0.1625,-0.069124,0.0
0.459,0.006884,-0.1625,-0.06753,0.0
0.46,0.006721,-0.1626,-0.065935,0.0
0.461,0.006559,-0.1627,-0.06434,0.0
0.462,0.006396,-0.1627,-0.062743,0.0
0.463,0.006233,-0.1628,-0.061146,0.0
0.464,0.00607,-0.1628,-0.059549,0.0
0.465,0.005907,-0.1629,-0.057951,0.0
0.466,0.005744,-0.163,-0.056352,0.0
0.467,0.005581,-0.163,-0.054753,0.0
0.468,0.005418,-0.1631,-0.053154,0.0
0.469,0.005255,-0.1631,-0.051553,0.0
0.47,0.005092,-0.1632,-0.049953,0.0
0.471,0.004929,-0.1632,-0.048351,0.0
0.472,0.004766,-0.1633,-0.04675,0.0
0.473,0.004602,-0.1633,-0.045148,0.0
0.474,0.004439,-0.1634,-0.043545,0.0
0.475,0.004275,-0.1634,-0.041942,0.0
0.476,0.004112,-0.1635,-0.040339,0.0
0.477,0.003949,-0.1635,-0.038735,0.0
0.478,0.003785,-0.1635,-0.03713,0.0
0.479,0.003621,-0.1636,-0.035526,0.0
0.48,0.003458,-0.1636,-0.033921,0.0
0.481,0.003294,-0.1636,-0.032316,0.0
0.482,0.00313,-0.1637,-0.03071,0.0
0.483,0.002967,-0.1637,-0.029104,0.0
0.484,0.002803,-0.1637,-0.027498,0.0
0.485,0.002639,-0.1638,-0.025892,0.0
0.486,0.002476,-0.1638,-0.024285,0.0
0.487,0.002312,-0.1638,-0.022678,0.0
0.488,0.002148,-0.1638,-0.021071,0.0
0.489,0.001984,-0.1638,-0.019463,0.0
0.49,0.00182,-0.1639,-0.017856,0.0
0.491,0.001656,-0.1639,-0.016248,0.0
0.492,0.001492,-0.1639,-0.01464,0.0
0.493,0.001328,-0.1639,-0.013032,0.0
0.494,0.001165,-0.1639,-0.011424,0.0
0.495,0.001001,-0.1639,-0.009816,0.0
0.496,0.000837,-0.164,-0.008207,0.0
0.497,0.000673,-0.164,-0.006599,0.0
0.498,0.000509,-0.164,-0.004991,0.0
0.499,0.000345,-0.164,-0.003382,0.0
0.5,0.000181,-0.164,-0.001773,0.0
0.501,1.7e-05,-0.164,-0.000165,0.0
0.502,-0.000147,-0.164,0.001444,0.0
0.503,-0.000311,-0.164,0.003052,0.0
0.504,-0.000475,-0.164,0.004661,0.0
0.505,-0.000639,-0.164,0.00627,0.0
0.506,-0.000803,-0.164,0.007878,0.0
0.507,-0.000967,-0.164,0.009486,0.0
0.508,-0.001131,-0.1639,0.011095,0.0
0.509,-0.001295,-0.1639,0.012703,0.0
0.51,-0.001459,-0.1639,0.014311,0.0
0.511,-0.001623,-0.1639,0.015919,0.0
0.512,-0.001787,-0.1639,0.017527,0.0
0.513,-0.00195,-0.1639,0.019134,0.0
0.514,-0.002114,-0.1639,0.020742,0.0
0.515,-0.002278,-0.1638,0.022349,0.0
0.516,-0.002442,-0.1638,0.023956,0.0
0.517,-0.002606,-0.1638,0.025563,0.0
0.518,-0.00277,-0.1638,0.027169,0.0
0.519,-0.002933,-0.1637,0.028775,0.0
0.52,-0.003097,-0.1637,0.030381,0.0
0.521,-0.003261,-0.1637,0.031987,0.0
0.522,-0.003424,-0.1636,0.033592,0.0
0.523,-0.003588,-0.1636,0.035197,0.0
0.524,-0.003751,-0.1636,0.036802,0.0
0.525,-0.003915,-0.1635,0.038406,0.0
0.526,-0.004079,-0.1635,0.04001,0.0
0.527,-0.004242,-0.1635,0.041614,0.0
0.528,-0.004405,-0.1634,0.043217,0.0
0.529,-0.004569,-0.1634,0.044819,0.0
0.53,-0.004732,-0.1633,0.046422,0.0
0.531,-0.004895,-0.1633,0.048023,0.0
0.532,-0.005059,-0.1632,0.049625,0.0
0.533,-0.005222,-0.1632,0.051226,0.0
0.534,-0.005385,-0.1631,0.052826,0.0
0.535,-0.005548,-0.1631,0.054426,0.0
0.536,-0.005711,-0.163,0.056025,0.0
0.537,-0.005874,-0.163,0.057624,0.0
0.538,-0.006037,-0.1629,0.059222,0.0
0.539,-0.0062,-0.1629,0.060819,0.0
0.54,-0.006363,-0.1628,0.062416,0.0
0.541,-0.006525,-0.1627,0.064013,0.0
0.542,-0.006688,-0.1627,0.065608,0.0
0.543,-0.006851,-0.1626,0.067203,0.0
0.544,-0.007013,-0.1625,0.068798,0.0
0.545,-0.007176,-0.1625,0.070392,0.0
0.546,-0.007338,-0.1624,0.071985,0.0
0.547,-0.0075,-0.1623,0.073577,0.0
0.548,-0.007663,-0.1622,0.075169,0.0
0.549,-0.007825,-0.1622,0.07676,0.0
0.55,-0.007987,-0.1621,0.07835,0.0
0.551,-0.008149,-0.162,0.079939,0.0
0.552,-0.008311,-0.1619,0.081528,0.0
0.553,-0.008473,-0.1619,0.083115,0.0
0.554,-0.008634,-0.1618,0.084702,0.0
0.555,-0.008796,-0.1617,0.086288,0.0
0.556,-0.008958,-0.1616,0.087874,0.0
0.557,-0.009119,-0.1615,0.089458,0.0
0.558,-0.009281,-0.1614,0.091042,0.0
0.559,-0.009442,-0.1613,0.092624,0.0
0.56,-0.009603,-0.1612,0.094206,0.0
